data,Feedback,population,question,subject
F,fb,2,Gender,172
21,fb,2,Age,172
HL,fb,2,Ethnicity,172
W,fb,2,Race,172
demos:Demographics:;,fb,2,TypeResp,173
F,fb,2,Gender,173
21,fb,2,Age,173
NHL,fb,2,Ethnicity,173
A,fb,2,Race,173
demos:Demographics:;,fb,2,TypeResp,174
F,fb,2,Gender,174
19,fb,2,Age,174
NHL,fb,2,Ethnicity,174
W,fb,2,Race,174
demos:Demographics:;,fb,2,TypeResp,175
F,fb,2,Gender,175
19,fb,2,Age,175
HL,fb,2,Ethnicity,175
W,fb,2,Race,175
demos:Demographics:;,fb,2,TypeResp,176
F,fb,2,Gender,176
18,fb,2,Age,176
NHL,fb,2,Ethnicity,176
A,fb,2,Race,176
demos:Demographics:;,fb,2,TypeResp,177
F,fb,2,Gender,177
18,fb,2,Age,177
HL,fb,2,Ethnicity,177
W,fb,2,Race,177
demos:Demographics:;,fb,2,TypeResp,178
F,fb,2,Gender,178
19,fb,2,Age,178
NHL,fb,2,Ethnicity,178
A,fb,2,Race,178
demos:Demographics:;,fb,2,TypeResp,179
F,fb,2,Gender,179
